No_Hit,Age,Ever_Bankruptcy,Months_Since_Bankruptcy,Ever_Collection,Unpaid_Collection_Trades,Unpaid_Collection_Balance,Counseling_Last_12M,Unpaid_CO_84M,Delinq_90D_12M,Delinq_60D_12M,Delinq_60D_Curr,Delinq_30D_3M,Delinq_30D_Curr,Checking_Asset,Card_Inquiry_12M,Card_Open_24M,Personal_Loan,Unsecured_Debt,Revolving_Util,Income,Auth_User_Only,Student,Student_Loan_Amt,Ever_ChargeOff,ChargeOff_Balance,FICO_V
0,22,0,0,0,0,0,0,0,0,0,0,1,0,361,0,2.0,0,713.0,0.0034543276566879,34309,0,0,0.0,0,,586.0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,2963,3,1.0,0,744.8000000000001,0.0,35778,0,0,0.0,0,,541.0
1,25,0,0,0,0,0,0,0,0,0,0,0,0,1575,3,0.0,0,503.0,0.5761045701014248,21814,0,0,0.0,0,,
0,25,0,0,0,0,0,1,0,0,0,0,0,0,911,0,0.0,0,775.0,0.5201367623141759,34959,0,0,0.0,0,,551.0
0,20,0,0,1,0,0,0,1,0,0,0,1,0,1366,3,1.0,0,94.4,0.1377033647181783,47856,0,0,0.0,1,50.0,636.0
0,23,0,0,0,0,0,1,0,0,0,0,0,0,1711,0,1.0,0,374.0,0.1790040675258662,41196,0,1,14373.0,0,,566.0
1,22,0,0,1,0,0,0,1,1,0,1,1,0,1360,3,1.0,0,68.0,0.0,22033,1,0,0.0,0,,
1,19,0,0,0,0,0,0,0,0,1,0,1,1,900,0,2.0,0,656.8000000000001,0.0087048513911469,41616,0,0,0.0,0,,
1,25,0,0,0,0,0,0,0,0,0,0,0,0,2425,3,1.0,0,628.0,0.2661294687869696,45598,0,0,0.0,0,,
0,21,0,0,0,0,0,0,1,0,1,0,0,0,190,1,2.0,0,713.6,0.3331054452623582,45117,0,1,12942.3,0,,622.0
1,23,0,0,0,0,0,0,0,0,0,0,0,0,2395,3,2.0,1,1458.0,0.4358606694911131,29130,0,1,3300.0,0,,
0,23,0,0,0,0,0,0,1,0,0,0,0,1,2954,1,2.0,0,992.0,0.0444172222066887,44160,0,1,19014.0,0,,619.0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,1627,1,0.0,0,601.6,0.3201929054853822,51893,0,0,0.0,0,,646.0
0,25,0,0,0,0,0,0,0,0,1,0,0,0,2873,1,1.0,1,2478.0,0.0056940584511795,23249,1,0,0.0,0,,550.0
0,21,0,0,0,0,0,1,0,0,0,0,0,0,706,3,3.0,1,228.8,0.1144063196190596,34669,0,1,4826.5,0,,526.0
1,22,0,0,0,0,0,0,0,0,0,0,1,0,1739,3,1.0,0,418.0,0.315754178743922,23435,1,0,0.0,0,,
1,18,0,0,0,0,0,0,0,0,1,0,0,0,1861,1,1.0,1,673.6,0.0,26286,0,1,4841.9,0,,
0,21,0,0,0,0,0,1,0,0,1,0,1,0,592,1,1.0,0,356.8,0.0322549462886006,38733,0,0,0.0,0,,630.0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,932,2,0.0,0,491.2000000000001,0.1180589086102046,52171,0,1,10087.7,0,,
0,23,0,0,1,0,0,1,0,1,1,0,0,0,2502,1,1.0,0,649.0,0.071177879309798,43476,0,0,0.0,1,,573.0
0,22,0,0,0,0,0,0,0,0,0,0,0,1,673,3,1.0,0,744.0,0.4321425961288141,48911,1,0,0.0,0,,659.0
0,21,0,0,1,0,0,1,0,1,0,1,0,0,905,0,2.0,0,751.2,0.6124097045547922,22940,0,1,3819.2,1,,604.0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,1334,0,1.0,1,2093.6,0.4292885834450469,53144,0,0,0.0,0,,625.0
1,18,0,0,0,0,0,1,0,0,0,0,0,1,1361,3,2.0,0,625.6,0.2913918006115982,40168,0,1,12863.9,0,,
1,20,0,0,1,0,0,1,0,1,1,1,1,1,2246,0,1.0,0,722.4000000000001,0.3170492277622,47334,0,0,0.0,0,,
0,20,0,0,1,0,0,0,0,1,0,0,0,0,2518,0,0.0,0,561.6,0.2792805998195558,27496,1,0,0.0,0,,668.0
1,24,0,0,1,2,243,1,1,0,1,0,0,0,2209,0,0.0,0,597.0,0.291568019349399,53851,0,0,0.0,0,,
1,19,0,0,0,0,0,1,1,0,0,0,1,0,1878,1,0.0,0,696.0,0.459978746375861,33379,0,1,3704.4,0,,
0,25,0,0,0,0,0,0,0,0,0,0,0,0,713,0,1.0,1,1190.0,0.2659132395325325,34044,0,0,0.0,0,,677.0
1,21,0,0,0,0,0,1,1,0,0,0,1,0,1783,2,1.0,0,696.0,0.5892255350682296,48268,1,0,0.0,0,,
0,21,0,0,0,0,0,0,0,0,0,0,0,0,753,0,1.0,0,509.6,0.2450473170908854,47312,1,0,0.0,0,,617.0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,319,3,1.0,0,181.0,0.458839942645343,48508,1,0,0.0,0,,624.0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,2589,3,1.0,1,2411.0,0.1992053633131232,44928,0,1,12123.0,0,,587.0
0,23,0,0,0,0,0,1,0,0,0,1,1,0,226,0,1.0,0,197.0,0.3074044066044117,35921,0,0,0.0,1,,622.0
1,23,0,0,0,0,0,1,0,0,1,0,0,0,2374,3,1.0,0,877.0,0.314372366678301,32939,0,1,8823.0,0,,
1,24,0,0,0,0,0,1,0,0,0,0,1,0,2806,2,2.0,0,585.0,0.2036427603888852,39800,0,0,0.0,0,,
1,23,0,0,1,0,0,0,0,1,0,1,0,0,2317,0,2.0,0,612.0,0.3907238760363241,43188,0,1,7906.0,1,,
1,20,0,0,1,0,0,1,0,0,0,1,0,0,1610,2,0.0,0,732.0,0.1050330711309381,50220,0,1,1851.5,1,,
0,21,0,0,0,0,0,0,0,0,0,0,0,1,239,0,0.0,0,436.0,0.1307115210646726,23433,0,0,0.0,0,,675.0
1,24,0,0,0,0,0,0,1,0,0,0,0,1,173,0,2.0,0,190.0,0.4062124497456332,24370,0,0,0.0,0,,
1,21,0,0,0,0,0,1,0,0,0,0,0,0,191,3,1.0,0,436.8,0.4853641859367968,40010,0,0,0.0,0,,
0,25,0,0,1,0,0,1,1,1,0,1,1,0,1448,0,2.0,1,447.0,0.2815323102404737,49655,0,0,0.0,1,,618.0
0,18,0,0,1,0,0,0,0,1,1,0,0,1,1328,2,0.0,1,2023.2,0.2649620438182024,47165,1,1,13812.4,0,,678.0
1,20,0,0,0,0,0,0,1,0,1,0,0,0,2535,3,1.0,1,1556.8000000000002,0.072404982764878,34789,0,1,15486.8,0,,
0,22,0,0,1,0,0,1,0,1,0,1,0,0,2311,0,1.0,0,779.0,0.3951815518025798,37835,0,0,0.0,0,,657.0
1,20,0,0,0,0,0,0,0,0,0,0,1,0,1880,0,0.0,0,253.6,0.1584780387946461,40760,0,0,0.0,0,,
0,24,0,0,0,0,0,0,1,1,0,0,0,0,633,3,0.0,1,2542.0,0.4158245832838621,51755,0,0,0.0,0,,524.0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,1157,0,0.0,0,754.0,0.3421463363852695,54636,0,0,0.0,0,,554.0
0,18,0,0,0,0,0,1,0,0,1,0,0,0,1154,0,1.0,0,187.2,0.7320597772549107,49705,1,1,7939.4,0,,642.0
0,24,0,0,0,0,0,0,0,0,1,0,0,0,2292,3,2.0,1,2120.0,0.3928279696993983,28233,0,0,0.0,0,,631.0
0,19,0,0,1,0,0,0,0,1,0,0,0,0,1552,2,1.0,0,704.0,0.4236732939575424,18929,1,1,12491.5,1,,560.0
0,21,0,0,0,0,0,0,1,0,0,0,0,0,1891,1,2.0,0,195.2,0.3509655006294229,36556,0,0,0.0,0,,658.0
0,18,0,0,0,0,0,1,0,0,0,0,0,0,2771,0,1.0,0,273.6,0.0,22857,0,0,0.0,0,,669.0
0,21,0,0,0,0,0,0,0,0,0,0,1,1,2201,1,0.0,1,2307.2000000000003,0.1693753936563428,19307,1,1,15479.8,0,,549.0
0,23,0,0,0,0,0,1,0,0,1,0,1,1,932,2,1.0,1,1821.0,0.3406364560775574,30982,0,0,0.0,0,,517.0
1,19,0,0,1,0,0,0,1,1,0,0,1,0,414,2,2.0,0,92.0,0.0658190020942063,39826,0,1,14075.6,1,,
1,19,0,0,0,0,0,0,0,0,0,0,0,0,106,1,2.0,1,1888.8,0.467667899974373,38620,1,1,6506.5,0,,
0,18,0,0,0,0,0,0,0,0,0,0,0,1,2065,1,0.0,1,956.8,0.3203103719912851,23776,0,1,6876.099999999999,0,,673.0
1,19,0,0,1,0,0,0,1,1,0,1,0,0,2418,0,0.0,0,624.0,0.0,41864,1,0,0.0,0,,
0,22,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,2.0,1,1539.0,0.0478490991739807,33649,0,1,15386.0,0,,607.0
0,19,0,0,0,0,0,0,0,0,0,0,0,1,1905,0,2.0,1,1353.6,0.3811632634990448,23571,1,1,8666.0,0,,659.0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,1174,0,2.0,1,384.0,0.6534042224237315,19316,0,0,0.0,0,,
0,21,0,0,0,0,0,0,0,0,0,0,1,1,698,0,1.0,0,760.8000000000001,0.456896218480229,36156,0,0,0.0,0,,569.0
0,24,0,0,1,0,0,0,0,1,0,0,0,0,1723,0,2.0,1,607.0,0.4025114679056134,54609,0,0,0.0,0,,613.0
0,21,0,0,1,0,0,0,0,1,0,0,0,0,2562,3,2.0,1,1404.0,0.3711150224740276,48116,0,0,0.0,0,,518.0
1,24,0,0,0,0,0,1,0,1,1,0,1,0,2826,3,1.0,0,643.0,0.3036210849661642,20204,0,0,0.0,0,,
1,21,0,0,0,0,0,1,1,0,1,0,0,0,2459,0,1.0,1,2083.2000000000003,0.0499375677513342,31379,0,1,7477.4,0,,
0,22,0,0,0,0,0,0,0,0,1,0,0,0,1746,1,1.0,0,14.0,0.3320113515144169,45076,0,1,24973.0,0,,527.0
0,25,0,0,0,0,0,0,0,1,1,1,1,1,1741,3,1.0,0,579.0,0.1,49030,0,0,0.0,0,,653.0
0,24,0,0,1,1,355,1,1,0,0,0,0,0,1112,0,2.0,1,2851.0,0.3488567197808836,30424,0,0,0.0,0,,614.0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,59,3,1.0,0,196.8,0.0080593953346263,51396,0,0,0.0,0,,
0,23,0,0,1,0,0,0,0,1,0,1,0,0,1114,0,0.0,0,400.0,0.3294558699083665,44536,1,1,4871.0,1,,641.0
1,18,0,0,0,0,0,1,1,0,0,0,1,0,270,3,0.0,0,88.80000000000001,0.1840783229227129,46152,0,0,0.0,0,,
1,21,0,0,0,0,0,0,0,0,1,0,0,0,2725,2,0.0,0,202.4,0.5504611758352543,50252,0,1,2366.0,0,,
1,19,0,0,0,0,0,1,0,0,0,0,0,0,1982,2,1.0,0,560.8000000000001,0.1472791572496014,34589,0,0,0.0,0,,
1,25,0,0,0,0,0,1,0,0,1,0,0,0,1026,2,1.0,0,784.0,0.0,50920,0,0,0.0,0,,
1,21,0,0,0,0,0,1,0,0,1,0,0,1,2410,0,1.0,1,2059.2000000000003,0.1837194504566035,19363,1,1,7526.4,0,,
0,19,0,0,1,0,0,0,0,1,0,0,0,0,1874,1,1.0,0,719.2,0.2597056765550404,22997,0,1,8804.599999999999,1,,622.0
0,23,0,0,1,2,166,0,0,1,0,0,0,1,932,0,0.0,0,205.0,0.4500841582837542,42335,1,1,22979.0,1,,572.0
1,23,0,0,0,0,0,0,1,0,1,0,0,0,99,3,0.0,0,196.0,0.2796538817435893,21765,0,0,0.0,0,,
0,23,0,0,0,0,0,0,1,0,0,0,1,0,1391,0,0.0,0,467.0,0.0,46230,0,0,0.0,0,,668.0
1,19,0,0,0,0,0,0,0,0,1,0,0,0,645,2,2.0,0,246.4,0.3960513798084866,47231,0,1,16493.399999999998,0,,
0,21,0,0,0,0,0,0,1,0,0,0,0,0,1522,0,0.0,0,652.8000000000001,0.3762383446687738,29683,1,1,7256.9,0,,560.0
0,23,0,0,0,0,0,1,0,0,0,0,0,0,92,0,0.0,0,211.0,0.3556847831583125,19134,0,0,0.0,0,,543.0
1,22,0,0,0,0,0,0,0,0,0,0,1,1,1623,2,2.0,0,318.0,0.0,52761,0,0,0.0,0,,
0,24,0,0,0,0,0,1,0,0,1,0,1,0,494,1,2.0,0,741.0,0.0,23668,0,0,0.0,0,,561.0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,170,0,1.0,0,739.2,0.392266941289308,53436,1,0,0.0,0,,
1,19,0,0,0,0,0,0,0,0,0,0,1,1,1621,1,1.0,0,250.4,0.2086360664964651,36978,0,1,1460.1999999999998,0,,
0,21,0,0,0,0,0,0,0,0,0,0,0,0,646,1,0.0,0,13.6,0.3173700724866061,22733,0,1,16179.1,0,,513.0
1,19,0,0,0,0,0,0,0,0,0,0,1,0,1582,0,2.0,1,54.400000000000006,0.0975557809029437,26640,0,0,0.0,0,,
0,19,0,0,0,0,0,0,1,0,1,0,0,0,1080,1,0.0,1,193.6,0.2417739584025797,54468,0,1,7951.299999999999,0,,626.0
0,23,0,0,0,0,0,0,0,0,0,0,1,0,948,2,0.0,0,56.0,0.300373605274244,28531,0,1,13312.0,0,,680.0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,1957,2,1.0,0,76.0,0.2123882520596774,32683,0,0,0.0,0,,582.0
1,23,0,0,0,0,0,0,1,0,0,0,0,0,632,3,0.0,0,901.0,0.3140804732605047,28966,0,0,0.0,0,,
0,24,0,0,0,0,0,0,0,0,0,0,0,0,2813,1,2.0,0,592.0,0.0627474889190301,51625,0,1,15680.0,0,,545.0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,1024,2,2.0,1,2057.0,0.29687960740004,18203,0,0,0.0,0,,655.0
1,24,0,0,0,0,0,0,1,0,0,0,0,0,504,3,0.0,1,2428.0,0.3565572433224195,53503,0,1,2956.0,0,,
1,25,0,0,0,0,0,1,0,1,1,0,0,0,557,3,0.0,0,165.0,0.0642877756366279,48926,0,0,0.0,1,,
0,23,0,0,0,0,0,0,0,0,0,0,0,1,700,1,1.0,0,708.0,0.1577667243112545,40164,1,1,7232.0,0,,665.0
0,24,0,0,0,0,0,0,0,1,0,0,1,0,1050,1,1.0,0,832.0,0.4715574123678523,36062,0,0,0.0,0,,540.0
0,21,0,0,1,0,0,1,0,1,1,1,0,0,1167,0,0.0,0,755.2,0.3195381972060808,42519,0,1,11896.5,1,,582.0
0,18,0,0,1,0,0,1,0,1,1,1,0,0,2185,3,2.0,0,142.4,0.3019577075453471,51998,1,0,0.0,1,,547.0
1,23,0,0,0,0,0,0,0,0,0,0,0,0,2825,1,2.0,0,898.0,0.1759498305950516,43479,0,0,0.0,0,,
0,25,0,0,1,2,105,1,1,0,1,0,0,1,60,3,2.0,1,2550.0,0.52216288000103,37583,0,0,0.0,0,,550.0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,985,0,2.0,0,974.0,0.470293575743271,53871,1,0,0.0,0,,667.0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,2585,0,0.0,1,1302.0,0.5612406582525161,32523,0,0,0.0,0,,645.0
0,22,0,0,0,0,0,0,0,0,0,0,1,0,2519,3,3.0,0,184.0,0.1252628444803301,45529,0,0,0.0,0,,543.0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,325,3,1.0,0,744.8000000000001,0.0,34279,0,1,15811.6,0,,
0,24,0,0,0,0,0,0,1,0,0,0,0,1,2705,1,0.0,1,2878.0,0.4535770251643382,31878,0,0,0.0,0,,586.0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,1856,3,1.0,1,1066.0,0.0,33549,0,1,21497.0,0,,669.0
0,25,0,0,0,0,0,0,0,1,0,0,0,1,871,3,0.0,0,370.0,0.3149544866989973,41666,0,0,0.0,1,,600.0
0,19,0,0,0,0,0,0,0,1,0,1,0,0,1026,0,2.0,0,65.60000000000001,0.0541024923347703,42423,0,1,2772.7,0,,611.0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,2899,2,1.0,0,503.2000000000001,0.4670790129784269,50703,0,0,0.0,0,,679.0
1,21,0,0,0,0,0,1,0,1,1,1,1,0,2280,3,0.0,0,461.6,0.1547840125484772,47523,1,0,0.0,1,,
1,21,0,0,0,0,0,0,0,0,0,0,1,0,1376,2,2.0,1,630.4000000000001,0.5936953574128289,28377,0,0,0.0,0,,
1,21,0,0,0,0,0,0,1,0,0,0,0,0,2127,2,2.0,0,712.0,0.320667579603877,21961,1,0,0.0,0,,
1,22,0,0,0,0,0,0,0,1,0,0,1,1,1408,0,1.0,0,207.0,0.4576414171587748,26848,1,0,0.0,1,,
1,18,0,0,0,0,0,0,0,0,0,0,0,0,456,0,1.0,0,3.2,0.0531597137401175,20618,0,1,6249.599999999999,0,,
0,22,0,0,0,0,0,0,0,0,0,0,1,1,2141,3,0.0,0,326.0,0.1662609640087455,27343,0,0,0.0,0,,597.0
0,24,0,0,1,0,0,0,0,1,0,0,0,0,2298,2,0.0,1,2680.0,0.4966737449170959,37229,0,0,0.0,1,,507.0
1,22,0,0,0,0,0,0,1,0,0,0,0,0,1497,1,0.0,0,211.0,0.3108280697142392,30734,0,0,0.0,0,,
1,18,0,0,1,0,0,0,1,1,0,0,0,1,1588,0,2.0,0,423.2000000000001,0.3298303097052145,37630,0,0,0.0,1,,
1,18,0,0,0,0,0,0,0,0,0,0,0,0,2145,1,1.0,0,417.6,0.0558633269478406,20941,1,1,10567.9,0,,
0,24,0,0,0,0,0,0,1,0,0,0,1,0,1973,2,1.0,0,826.0,0.6872459779621876,32407,1,0,0.0,0,,513.0
0,18,0,0,0,0,0,0,0,0,1,0,0,0,125,0,1.0,0,624.8000000000001,0.0,38674,0,1,16757.3,0,,671.0
0,25,0,0,0,0,0,0,0,0,0,0,1,0,1860,2,1.0,0,829.0,0.1224540556950208,49730,0,0,0.0,0,,546.0
1,18,0,0,0,0,0,0,0,0,0,0,0,1,667,2,2.0,0,391.2000000000001,0.358940266183286,28680,0,1,1600.9,0,,
0,21,0,0,0,0,0,1,0,1,0,0,0,0,1483,2,1.0,0,576.0,0.0785830514670165,41238,0,1,8939.0,0,,642.0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,827,3,1.0,0,844.0,0.4729652384315918,47092,0,0,0.0,0,,646.0
0,25,1,37,1,0,0,1,0,0,0,0,0,0,109,1,0.0,1,2087.0,0.5313399151751357,23197,0,1,4172.0,0,,649.0
0,24,0,0,0,0,0,1,0,0,1,0,0,0,1429,3,1.0,0,940.0,0.4161715712377479,26386,0,0,0.0,0,,517.0
1,20,0,0,1,0,0,0,0,1,1,0,0,1,730,1,2.0,0,617.6,0.2111798252414262,40394,0,1,2287.6,1,,
1,20,0,0,0,0,0,1,1,0,0,0,0,0,2014,0,2.0,0,196.8,0.0461891040140894,25754,1,1,4229.4,0,,
1,18,0,0,0,0,0,1,0,0,1,0,0,0,2285,2,0.0,0,162.4,0.0,31990,1,0,0.0,0,,
0,25,0,0,1,0,0,0,0,1,0,0,1,0,1099,2,2.0,0,136.0,0.3853036626243032,30254,0,0,0.0,0,,531.0
0,20,0,0,0,0,0,1,0,0,1,0,0,1,312,2,2.0,0,736.0,0.4319263896254999,49371,0,1,15593.2,0,,634.0
1,20,0,0,0,0,0,0,1,0,0,0,0,0,796,2,0.0,0,42.400000000000006,0.104880729974372,45405,0,1,1590.4,0,,
0,18,0,0,0,0,0,0,0,0,0,0,0,1,1922,1,0.0,0,519.2,0.2827176429759573,29569,0,0,0.0,0,,673.0
0,20,0,0,0,0,0,1,0,0,1,0,0,1,2019,3,2.0,0,434.4,0.2132268400056693,18507,1,1,12685.4,0,,678.0
0,22,0,0,1,0,0,0,1,0,0,0,1,0,742,2,2.0,0,382.0,0.3507238710718841,27927,1,0,0.0,1,50.0,549.0
1,19,0,0,0,0,0,0,0,0,1,0,0,0,320,1,2.0,0,759.2,0.2103124922498659,44347,1,1,12576.2,0,,
0,24,0,0,0,0,0,0,1,0,0,0,0,1,1752,3,2.0,0,264.0,0.3398361631095981,53892,0,0,0.0,0,,557.0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,2219,3,2.0,0,476.8,0.2586904504718932,29279,0,1,15598.1,0,,643.0
1,18,0,0,0,0,0,0,0,0,1,0,0,0,2109,0,0.0,1,1253.6,0.0,20936,0,1,12110.0,0,,
0,21,0,0,0,0,0,0,0,0,0,0,0,0,2578,3,1.0,1,1664.8000000000002,0.2698701350393854,32287,1,0,0.0,0,,633.0
0,24,0,0,0,0,0,1,0,0,1,0,0,0,1220,2,2.0,0,749.0,0.66526376505165,24869,0,0,0.0,0,,634.0
1,18,0,0,0,0,0,0,1,0,0,0,0,0,1416,3,1.0,0,431.2000000000001,0.0761803353658225,20887,0,1,4326.0,0,,
1,25,0,0,0,0,0,1,1,0,1,0,0,0,2712,2,2.0,0,465.0,0.2169722962602687,36771,0,0,0.0,0,,
0,21,0,0,1,0,0,0,0,1,0,0,0,0,346,1,2.0,0,439.2000000000001,0.2011830652130693,20881,1,0,0.0,1,,507.0
0,19,0,0,1,0,0,0,1,1,0,1,0,1,1811,0,2.0,1,461.6,0.0644759077443156,36255,0,0,0.0,1,,581.0
1,18,0,0,0,0,0,0,0,0,0,0,0,0,1402,2,2.0,0,133.6,0.4423082800649229,45856,0,0,0.0,0,,
0,25,0,0,0,0,0,0,1,0,0,0,0,0,1039,0,2.0,0,508.0,0.1,42648,0,0,0.0,0,,643.0
0,24,0,0,0,0,0,0,1,0,1,0,0,0,1707,2,1.0,1,2795.0,0.282535210790887,33187,0,0,0.0,0,,608.0
0,24,0,0,1,0,0,1,1,1,1,0,1,0,2564,0,0.0,1,1063.0,0.1974384618076553,27947,0,0,0.0,0,,553.0
1,23,0,0,0,0,0,0,1,0,0,0,0,0,2991,1,2.0,0,188.0,0.5646923297749545,22922,0,1,22181.0,0,,
1,25,0,0,0,0,0,1,0,0,1,1,0,0,1196,2,1.0,0,689.0,0.5130311699563426,34766,0,0,0.0,1,,
1,22,0,0,0,0,0,0,0,0,0,0,0,1,1408,2,1.0,0,561.0,0.0006229117393916,39181,1,0,0.0,0,,
0,20,0,0,0,0,0,1,0,0,0,0,0,1,2862,0,1.0,0,276.8,0.217339167535447,33960,0,0,0.0,0,,652.0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,1048,0,0.0,0,357.6,0.1675872904871519,31799,0,1,17035.899999999998,0,,649.0
0,25,0,0,0,0,0,0,1,0,0,0,0,0,1756,2,0.0,1,1178.0,0.4009480676245663,23583,0,0,0.0,0,,584.0
1,23,0,0,1,0,0,1,1,1,1,0,0,0,1908,2,1.0,1,1369.0,0.4137372771205886,46464,1,0,0.0,0,,
1,20,0,0,0,0,0,0,0,0,0,0,0,0,132,1,2.0,0,661.6,0.0,37989,1,1,5997.599999999999,0,,
0,20,0,0,1,2,417,0,1,1,0,0,0,0,1966,0,0.0,0,745.6,0.2333785546614666,26683,0,0,0.0,0,,564.0
1,18,0,0,0,0,0,1,0,0,0,0,0,0,376,3,3.0,0,346.40000000000003,0.2562484747754611,52629,0,0,0.0,0,,
1,20,0,0,1,0,0,0,1,1,0,1,0,0,616,3,3.0,1,1312.0,0.255753980668623,26997,0,1,3657.5,0,,
0,22,0,0,0,0,0,1,0,0,0,0,0,0,2680,1,1.0,0,916.0,0.0757517634681558,28313,1,1,16130.0,0,,593.0
0,24,0,0,0,0,0,0,0,0,0,0,0,0,2541,1,2.0,0,714.0,0.275705690639665,38906,0,0,0.0,0,,674.0
0,23,0,0,0,0,0,1,0,0,1,0,1,0,1788,0,0.0,0,924.0,0.6281462905558538,53089,0,0,0.0,0,,583.0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,580,1,1.0,0,122.4,0.3811766709658803,36100,0,1,1950.2,0,,
1,18,0,0,0,0,0,0,1,0,0,0,0,0,2919,1,0.0,0,212.0,0.221426489181513,25367,1,0,0.0,0,,
0,22,0,0,0,0,0,0,0,0,0,0,0,0,669,1,0.0,1,605.0,0.6575664630288003,53709,0,0,0.0,0,,542.0
1,19,0,0,0,0,0,0,1,0,0,0,0,0,1585,3,2.0,0,538.4,0.2547390101096768,19996,1,0,0.0,0,,
1,24,0,0,1,0,0,0,0,1,0,0,1,0,1460,1,0.0,1,1082.0,0.1398438412437147,19172,0,0,0.0,1,,
1,24,0,0,0,0,0,0,0,0,1,0,1,1,2877,2,1.0,0,105.0,0.3519208176812711,20244,0,0,0.0,0,,
1,23,0,0,0,0,0,0,0,0,0,0,1,0,2901,0,1.0,0,525.0,0.3272056716725779,27045,0,0,0.0,0,,
1,24,0,0,0,0,0,1,0,1,0,0,0,0,1636,1,0.0,0,852.0,0.1883361270253205,42503,0,0,0.0,0,,
0,20,0,0,0,0,0,1,0,0,0,0,0,0,504,3,0.0,1,463.2000000000001,0.2094819640434213,38914,0,1,6953.099999999999,0,,671.0
0,18,0,0,0,0,0,1,1,0,0,0,0,0,790,1,2.0,0,200.0,0.0765549799845925,39271,0,0,0.0,0,,570.0
1,24,0,0,1,0,0,0,0,0,1,1,1,0,2582,1,1.0,0,902.0,0.2723481863748345,24159,0,0,0.0,0,,
1,24,0,0,0,0,0,0,0,0,1,0,1,0,1926,1,0.0,0,619.0,0.1697301315049911,40356,0,0,0.0,0,,
